case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
8842,1,3,1,0,3432,1989,1,7009.197499999999,0,1,0
8853,1,3,1,0,1769,2005,3,931.7658333333334,0,0,0
8864,1,0,0,0,1695,1928,3,4112.53625,0,1,0
8875,1,0,0,0,1899,1982,3,3777.8841666666667,0,1,0
8886,1,3,1,0,199,2013,3,6370.80125,0,0,0
8899,3,0,0,0,2682,1995,2,3262.945416666667,0,1,1
8910,1,0,1,0,4709,1995,4,2177.99375,0,1,0
8921,1,0,1,0,2887,1990,4,3098.290833333333,0,1,0
8932,0,3,1,0,1346,2003,2,10089.436666666666,0,1,0
8943,1,3,1,0,32503,1925,3,1856.4633333333334,0,1,0
8954,2,1,0,0,259,1975,2,2538.965833333333,0,1,0
8965,1,2,0,1,612,1999,1,6722.125416666667,0,1,0
8976,5,3,0,0,153,1996,1,8564.444166666666,0,1,0
8987,3,0,0,0,1983,2004,4,791.6175,0,1,1
8998,5,3,0,1,4081,2008,3,1076.0320833333333,0,1,0
9010,1,2,0,0,3940,1917,3,12.5377125,0,1,0
9021,2,1,1,1,5815,1847,4,1978.6020833333332,0,1,0
9032,2,1,0,0,108200,1994,3,61.217083333333335,0,1,0
9043,1,0,1,0,239,2001,4,1880.8179166666666,0,1,0
9054,1,3,0,0,5441,2006,4,5978.4158333333335,0,0,1
9065,5,0,0,0,558,1981,1,7077.139583333334,0,1,0
9076,1,3,0,0,4246,2006,4,1376.6908333333333,0,1,1
9087,3,0,0,0,4478,1982,2,1592.7150000000001,0,1,1
9098,2,2,1,1,1248,1999,3,1494.4262500000002,0,1,0
9109,2,2,1,0,867,2013,4,2871.212916666667,0,1,1
9121,2,0,0,0,1600,1966,4,268.18416666666667,0,1,0
9132,1,2,0,0,1688,1994,2,5557.165,0,1,1
9143,1,0,0,1,2938,1986,4,9018.862083333333,0,1,1
9154,0,3,0,0,3463,1980,1,5449.944583333333,0,1,0
9165,1,0,1,0,4400,1999,1,416.62375,0,1,0
9176,1,3,1,1,498,1999,4,4721.147083333333,0,1,0
9187,1,3,0,0,1684,2004,3,1309.9579166666667,0,1,0
9198,2,3,0,1,13,1989,2,6180.237083333333,0,1,0
9209,1,0,1,1,1571,2001,3,921.15375,0,1,0
9220,1,3,0,0,1039,1992,4,2192.477083333333,0,1,1
9232,1,2,0,0,1353,1999,2,19.327858333333335,0,1,1
9243,1,0,0,1,1021,1993,1,5159.424166666667,0,1,0
9254,2,1,0,0,3824,1817,3,2099.7608333333333,0,1,0
9265,1,1,0,1,37,1986,2,3082.9908333333333,0,1,1
9276,3,2,0,0,19524,1975,4,5641.699583333334,0,1,1
9287,1,0,1,0,451,1968,4,34.031420833333335,0,1,0
9298,1,0,0,0,752,1970,2,4251.565833333333,0,1,1
9309,0,1,0,1,1670,2004,3,1258.7575,0,1,0
9320,2,3,1,0,631,2008,4,5133.9366666666665,0,1,0
9331,3,0,1,0,4297,1986,3,1751.6404166666669,0,1,0
9343,1,0,0,0,4505,1999,4,1410.73125,0,1,1
9354,1,3,0,0,2093,1980,2,3070.744583333333,0,1,1
9365,1,3,1,0,1124,2008,3,2861.6941666666667,0,1,0
9376,1,3,1,0,1060,1838,3,3988.7225,0,1,0
9387,1,1,1,0,54598,1992,4,4057.00625,0,1,0
9398,1,0,0,0,1336,1925,3,16.256616666666666,0,1,0
9409,1,2,0,0,2831,1996,1,5991.962500000001,0,1,0
9420,1,0,1,0,1424,2007,2,1174.8666666666666,0,1,0
9431,1,3,0,0,4612,2000,1,10314.384583333334,0,1,0
9442,1,0,1,0,1377,1993,4,2393.313333333333,0,1,0
9454,5,1,0,1,2624,1885,4,2723.585833333333,0,1,1
9465,1,0,0,1,1866,1923,3,1770.67,0,1,0
9476,2,3,1,0,2850,1999,3,2166.93125,0,1,0
9487,2,1,0,0,1906,1999,4,2505.73375,0,1,0
9498,1,3,0,0,4314,1968,2,2112.0187499999997,0,1,1
9509,1,3,1,0,320,1994,2,4363.221666666667,0,0,0
9520,3,1,1,0,2633,1962,2,6894.934583333333,0,1,0
9531,1,0,0,0,4749,1985,2,4869.957083333334,0,1,1
9542,2,1,1,0,2375,2014,2,367.4508333333333,0,1,0
9553,1,0,0,0,219,2011,1,6289.8825,0,1,0
9565,4,0,1,1,5066,1987,2,2850.4679166666665,0,1,1
9576,1,3,1,0,1594,1982,2,674.8691666666667,0,0,0
9587,1,3,1,0,516,1986,1,6520.833333333333,0,1,0
9598,5,3,1,0,5572,2003,3,2081.258333333333,0,1,0
9609,1,0,1,0,4325,1965,3,6038.423333333333,0,0,0
9620,0,1,1,0,1420,1997,2,1406.6450000000002,0,1,0
9631,1,3,1,0,2557,1978,1,1072.5854166666666,0,1,0
9642,1,3,0,0,3216,2003,1,5743.079583333333,0,0,0
9653,1,0,0,1,430,1934,1,3638.213333333333,0,0,0
9664,3,3,1,0,3648,1998,1,6007.974999999999,0,0,0
9676,1,3,0,0,1730,2012,2,5635.74875,0,1,1
9687,1,1,0,0,2317,2005,1,6426.990000000001,0,1,0
9698,2,3,0,0,183,1975,4,2878.1808333333333,0,1,0
9709,3,3,1,0,1015,1938,4,2.1008,0,1,0
9720,2,3,1,0,927,1997,4,3454.5195833333332,0,1,0
9731,2,1,1,1,2266,1922,3,521.71125,0,1,0
9742,1,3,0,0,1203,2003,4,1075.9245833333332,0,1,1
9753,1,3,0,0,2693,2006,4,4257.008333333333,0,1,1
9764,1,0,0,0,4589,2010,1,2139.8958333333335,0,1,0
9775,2,0,0,0,3201,1995,4,14.583995833333333,0,1,1
9787,1,3,0,0,1126,1998,1,1458.6816666666666,0,1,0
9798,1,3,0,0,636,2007,4,1.9217833333333332,0,1,1
9809,1,3,0,0,4673,2005,4,3028.1083333333336,0,0,1
9820,5,3,0,1,3814,1800,2,3264.1975,0,1,1
9831,1,0,1,0,1438,2003,4,4644.362916666667,0,1,0
9842,1,0,1,0,2506,2007,1,3125.4408333333336,0,1,0
9853,1,3,1,0,1382,1997,2,2483.8070833333336,0,1,0
9864,1,3,1,0,4371,2005,4,3721.9420833333334,0,0,0
9875,3,3,1,0,67632,2001,1,1854.1508333333334,0,0,0
9886,5,3,0,0,4608,1872,3,1313.34625,0,1,0
9898,1,2,0,0,1268,2012,3,9755.79875,0,1,0
9909,3,3,1,0,3725,1971,2,238.03958333333333,0,1,0
9920,1,3,1,0,833,1998,3,3775.972916666667,0,1,0
9931,3,3,1,0,443,1954,2,16.607425,0,1,0
9942,2,0,1,1,3541,1986,3,2750.9683333333337,0,1,0
9953,1,0,1,0,2163,1962,1,4674.5,0,1,0
9964,1,2,1,0,4520,2008,3,965.9679166666666,0,1,0
9975,2,1,1,0,1434,1991,2,3451.6,0,1,0
9986,1,2,1,0,364,2004,4,1438.8345833333333,0,1,1
9997,1,3,1,0,2009,2010,4,62.86333333333334,0,1,0
10010,0,3,0,0,2867,2005,2,1714.4066666666668,0,1,1
10021,1,2,0,1,365,2005,1,3680.4358333333334,0,1,0
10032,1,3,1,0,1319,1993,2,4327.870416666667,0,1,0
10043,3,1,0,0,734,2002,4,3651.960416666667,0,1,1
10054,1,0,1,0,2543,2005,3,4455.803333333333,0,1,0
10065,1,0,1,0,3190,2009,2,2566.9379166666668,0,1,0
10076,2,3,0,1,297,2006,4,1739.3091666666667,0,1,0
10087,1,2,0,0,2748,1994,2,2781.7608333333333,0,0,1
10098,3,0,0,0,4320,1986,2,1631.8379166666666,0,1,1
10109,1,1,0,1,2478,1909,2,3055.650416666667,0,1,1
10121,1,3,0,1,190,2004,1,3798.8008333333332,0,1,0
10132,3,1,1,0,376,1926,2,482.1745833333334,0,1,0
10143,1,3,1,0,473,1989,2,3685.82375,0,1,0
10154,1,0,1,0,543,1998,3,1470.29625,0,1,0
10165,1,0,1,0,655,1989,3,2617.8475,0,1,0
10176,1,2,1,0,483,1999,3,2192.01125,0,1,0
10187,0,3,0,0,2359,1981,1,3265.111666666666,0,1,0
10198,1,0,1,0,15095,2011,4,4817.255833333334,0,1,0
10209,1,3,0,0,2063,1868,1,5106.712083333333,0,1,0
10220,1,0,1,0,4158,1997,2,1941.8474999999999,0,1,0
10232,1,0,0,0,4622,2005,3,4116.535,0,0,0
10243,1,3,1,0,1685,2003,4,4357.39375,0,1,0
10254,0,3,1,0,250,2007,1,4920.5408333333335,0,1,0
10265,2,3,1,0,2272,2004,4,3101.4708333333333,0,1,0
10276,2,0,1,0,999,1875,3,3763.478333333333,0,1,0
10287,3,3,1,0,3385,1997,2,3175.903333333333,0,1,0
10298,1,3,0,0,29941,2005,3,3483.425416666667,0,1,0
10309,1,2,1,0,133,2009,4,1983.97625,0,1,1
10320,1,3,1,0,3840,1999,4,3785.181666666667,0,1,0
10331,1,0,0,0,787,1998,4,548.3283333333333,0,1,1
10343,1,3,0,0,534,2005,2,1870.51625,0,1,1
10354,3,3,1,0,79245,1867,0,2940.86875,0,1,0
10365,2,0,1,0,65092,2001,1,2873.0304166666665,0,1,0
10376,1,0,0,0,1270,2000,4,2438.5066666666667,0,1,1
10387,1,3,1,0,11372,1965,1,4360.736666666667,0,1,0
10398,1,3,1,0,650,2008,2,17.088479166666666,0,1,0
10409,1,0,0,0,3449,1998,3,4525.779583333334,0,1,0
10420,2,2,0,0,2455,1838,4,2702.04875,0,1,1
10431,3,1,1,0,2650,2002,2,4867.337083333333,0,1,0
10442,5,0,1,0,18093,1995,3,1237.0879166666666,0,1,0
10454,1,3,0,0,711,1998,2,3231.116666666667,0,1,1
10465,1,2,0,0,1798,2012,2,898.0258333333333,0,1,1
10476,1,1,1,1,2915,1997,4,972.16125,0,1,0
10487,3,2,1,0,2950,1999,4,746.5191666666666,0,1,0
10498,1,3,1,0,4180,2006,2,534.23375,0,1,0
10509,3,0,0,0,4393,1839,2,1802.32875,0,1,1
10520,3,0,1,0,372,2008,2,6.031666666666666,0,1,1
10531,1,3,0,0,368,1981,2,13.706299999999999,0,1,1
10542,2,3,1,0,2326,2003,1,3263.3958333333335,0,1,0
10553,0,3,0,0,5935,2012,1,2797.90625,0,1,0
10565,1,0,0,1,292,1838,3,7081.2825,0,1,0
10576,1,3,0,0,1806,2005,3,9659.78,0,1,0
10587,3,3,0,0,978,1949,3,5333.5025,0,0,0
10598,3,0,1,0,323,1999,3,2628.56375,0,1,0
10609,5,0,1,0,5684,1989,2,4231.984583333334,0,1,0
10620,1,3,1,0,1769,2006,0,5045.385416666667,0,0,0
10631,1,3,0,0,1363,2001,1,8022.956666666666,0,1,0
10642,1,0,1,1,3862,1980,3,3436.361666666666,0,1,0
10653,3,0,1,0,1383,1974,4,2507.686666666667,0,1,1
10664,1,0,1,1,3211,2013,2,4557.724583333334,0,1,0
10676,1,1,1,0,26052,2007,3,2462.5575,0,1,0
10687,2,1,0,0,33130,1990,3,3361.56,0,1,0
10698,1,0,0,0,2031,1918,2,1930.2704166666665,0,1,1
10709,2,3,1,1,3624,1914,2,544.25375,0,1,0
10720,1,0,0,0,2240,1992,2,1538.93,0,1,1
10731,1,0,1,0,3731,1999,3,6523.505416666667,0,0,0
10742,1,0,1,0,2293,1998,3,1058.7095833333333,0,1,0
10753,3,0,1,0,403,1855,2,2197.159166666667,0,1,1
10764,1,3,0,0,4261,1986,2,5890.930416666666,0,0,1
10775,1,0,0,0,2677,1836,1,5174.487083333333,0,1,0
10787,1,3,0,0,623,1980,4,6550.141666666666,0,1,1
10798,2,3,1,0,777,2005,4,279.26,0,1,0
10809,1,0,1,0,3571,1998,3,6154.3875,0,1,0
10820,1,3,1,1,3381,1992,2,4286.801666666667,0,1,0
10831,3,3,1,0,3557,1989,3,1889.2979166666667,0,1,0
10842,1,3,0,0,2233,2005,3,3658.2004166666666,0,0,0
10853,1,0,1,0,4148,2005,3,525.1641666666667,0,1,0
10864,1,0,1,0,3146,2008,4,1943.1491666666668,0,1,0
10875,1,3,1,0,1528,1996,2,744.9616666666667,0,1,0
10886,1,3,0,0,784,2014,1,5999.006249999999,0,1,0
10898,5,0,1,0,4541,2004,2,1834.2020833333333,0,1,0
10909,5,3,0,0,613,1952,1,1666.93625,0,1,0
10920,1,3,1,0,4743,2014,3,2828.3995833333333,0,1,0
10931,1,2,1,0,1258,1838,3,4223.672916666666,0,1,0
10942,1,2,1,0,71,1996,1,3303.099583333333,0,1,0
10953,1,3,0,0,3616,2008,4,2579.3704166666666,0,1,1
10964,1,3,0,0,4959,2003,3,5859.855833333334,0,0,0
10975,1,3,1,0,810,2005,4,1426.774583333333,0,1,0
10986,5,3,0,0,953,2004,1,3739.497083333333,0,1,0
10997,1,2,0,0,3433,1981,3,1606.3195833333332,0,1,0
11009,2,3,0,1,342120,1997,3,3167.744166666667,0,1,0
11020,1,1,1,1,290,2012,3,5272.857916666667,0,1,0
11031,1,0,0,0,324,2000,3,2443.4354166666667,0,0,0
11042,1,3,0,0,2672,1984,3,4299.977916666667,0,1,0
11053,1,0,1,0,2939,1982,3,2004.16375,0,1,0
11064,5,1,1,0,4368,1994,2,2953.5141666666664,0,1,0
11075,2,0,0,0,4066,1996,3,2284.0170833333336,0,1,0
11086,1,0,0,0,1779,1989,2,3437.4275,0,0,1
11097,1,3,0,0,1550,1986,2,4472.79,0,1,1
11108,5,0,0,1,491,2000,4,4692.633333333333,0,1,1
11121,1,2,1,0,1879,2008,1,3768.4683333333337,0,1,0
11132,1,3,1,0,3090,2006,2,272.2925,0,1,0
11143,1,0,1,0,2583,1996,2,2223.3479166666666,0,1,0
11154,5,0,1,0,3275,1939,4,2314.7999999999997,0,1,1
11165,1,0,0,0,1725,1971,2,4689.90375,0,0,1
11176,1,2,1,0,2285,1871,3,26.88970833333333,0,1,0
11187,3,1,1,0,3721,1970,3,5163.305833333333,0,1,0
11198,3,3,0,0,242,2007,1,4355.7575,0,0,0
11209,1,0,1,0,3245,2007,4,558.0533333333334,0,1,0
11220,3,1,0,0,1127,2008,4,2697.8508333333334,0,1,1
11232,1,2,1,0,3111,1978,2,3545.3945833333332,0,1,1
11243,1,0,0,0,709,2005,4,0.42129583333333337,0,1,1
11254,1,0,1,1,39,1969,3,2265.554166666667,0,1,0
11265,1,0,0,0,2056,1987,3,4263.496666666667,0,1,0
11276,2,3,1,0,19672,2000,3,839.8304166666667,0,1,0
11287,0,0,1,0,910,1998,2,2556.30625,0,1,1
11298,1,1,1,1,507,1986,4,6566.872916666667,0,1,0
11309,1,2,1,0,3020,1989,4,2534.047916666667,0,1,1
11320,1,3,1,0,3010,1996,4,4149.4054166666665,0,0,0
11331,1,0,1,1,2431,2005,2,5169.013333333333,0,1,0
11343,1,2,1,0,491,2004,2,4621.85125,0,1,1
11354,2,0,1,0,3265,1994,3,757.9466666666667,0,1,0
11365,3,0,1,0,397,2000,2,27.0474,0,1,1
11376,2,1,0,0,4797,2010,4,2279.7445833333336,0,1,0
11387,3,3,1,0,912,1988,4,3621.73875,0,0,0
11398,1,0,0,1,2670,1998,3,5469.165,0,1,0
11409,1,3,1,0,1542,1989,3,5539.09625,0,0,0
11420,1,0,0,0,338,2005,3,9280.440416666666,0,1,0
11431,5,1,1,0,2337,1996,3,4361.020833333333,0,1,0
11442,2,3,1,0,1276,1940,4,1391.295,0,1,0
11454,1,3,1,0,2497,1984,1,319.6345833333333,0,1,0
11465,1,1,0,0,93,1989,1,2203.1004166666667,0,1,0
11476,1,0,1,0,542,1970,1,5010.91875,0,1,0
11487,1,1,1,1,3111,2006,3,3166.955416666666,0,1,0
11498,1,3,1,0,2845,2008,1,3383.486666666666,0,1,0
11509,1,0,0,0,1334,2001,2,1648.837083333333,0,1,1
11520,1,3,1,0,5084,2005,3,2087.0154166666666,0,0,0
11531,1,2,1,0,4569,1946,3,38.18105416666666,0,1,0
11542,1,2,1,0,673,1981,2,5656.578750000001,0,1,1
11553,4,2,1,1,200,2010,2,1393.2749999999999,0,1,0
11565,1,0,1,0,4422,1971,4,4239.87625,0,1,0
11576,1,3,1,0,481,1996,3,4135.757083333333,0,0,0
11587,1,2,0,0,1701,2001,2,2308.0904166666664,0,1,1
11598,1,3,1,0,4487,1946,3,2600.6916666666666,0,0,0
11609,1,2,0,0,3429,2010,2,705.6204166666666,0,1,1
11620,1,0,0,0,2998,1998,4,168.48125000000002,0,1,1
11631,2,0,1,0,1560,1987,4,5354.7675,0,1,0
11642,2,3,1,0,766,1998,3,872.735,0,1,0
11653,1,3,1,0,2943,2001,0,501.35375,0,1,0
11664,1,0,1,0,3163,2004,3,3975.777083333333,0,1,0
11676,1,0,1,0,22304,2002,1,8813.6275,0,1,0
11687,1,3,1,0,1610,1995,3,2386.1691666666666,0,1,0
11698,2,3,0,0,388,1996,2,15.653795833333334,0,1,0
11709,2,3,1,1,110,2004,4,6256.6329166666665,0,1,0
11720,2,0,1,0,4176,2006,1,1211.1408333333334,0,1,0
11731,3,0,0,0,3902,2000,3,3107.7545833333334,0,0,0
11742,1,0,0,0,3448,2007,2,5922.671249999999,0,1,1
11753,1,2,1,0,1278,1971,2,4226.6975,0,1,1
11764,5,0,0,1,1717,2004,4,3467.3470833333336,0,1,1
11775,1,3,1,0,129,1997,4,3002.3141666666666,0,1,0
11787,1,3,0,0,5473,2001,1,5272.215416666667,0,1,0
11798,1,0,1,0,2667,1963,1,2878.567916666667,0,1,0
11809,1,0,1,0,1697,1923,2,3558.835416666667,0,1,0
11820,1,0,1,0,3751,1984,4,1170.6929166666666,0,1,0
11831,0,3,1,0,2269,1994,2,4043.3241666666668,0,1,0
11842,1,0,1,0,327,2009,2,3152.486666666666,0,1,0
11853,1,0,1,0,2069,2008,1,6055.962083333333,0,1,0
11864,4,2,1,1,2044,1932,4,9990.567916666667,0,1,0
11875,2,2,0,0,1276,2002,3,5135.1883333333335,0,1,0
11886,3,3,1,0,4504,1952,4,1276.7237499999999,0,1,0
11898,2,0,1,1,2797,1898,3,1093.6512500000001,0,1,0
11909,1,0,0,0,4214,1999,2,4930.0,0,1,1
11920,1,3,1,0,4327,1996,1,4356.84375,0,0,0
11931,1,2,1,0,1850,2004,3,4510.3741666666665,0,1,0
11942,3,0,1,0,2959,2000,1,3909.98,0,1,0
11953,1,3,0,0,718,1971,1,21.967929166666668,0,1,0
11964,1,3,0,0,2735,2005,2,1965.1154166666665,0,0,1
11975,1,2,1,1,1256,1919,3,4354.541666666667,0,1,0
11986,1,0,0,0,317,2000,4,2435.2520833333333,0,1,1
11997,1,0,0,0,3830,1985,4,5127.078333333334,0,1,1
12009,3,2,1,0,921,2007,2,2158.2608333333333,0,1,0
12020,3,0,1,0,2464,1989,4,14.341758333333333,0,1,1
12031,5,0,0,0,443,1996,1,914.3766666666667,0,1,0
12042,1,0,1,0,1323,1962,2,39.9905375,0,1,0
12053,1,0,1,1,192,1984,3,5965.6375,0,1,0
12064,3,0,0,0,4044,1970,2,2764.3362500000003,0,1,1
12075,1,1,1,1,3914,1995,3,3161.820416666667,0,1,0
12086,3,0,0,0,5010,1969,2,4011.1870833333337,0,0,1
12097,3,0,0,0,2411,1850,2,1445.2279166666667,0,1,1
12108,0,0,1,0,870,1985,4,5307.560833333334,0,1,0
12120,1,2,1,0,222,1982,1,5113.338333333333,0,1,0
12131,0,3,1,0,809,1909,1,4089.0045833333334,0,1,0
12142,2,2,1,1,849,2010,4,1318.9045833333332,0,1,1
12153,3,0,1,0,33,2003,3,5662.469583333333,0,0,0
12164,2,3,0,0,1214,1980,4,5441.68875,0,1,0
12175,1,3,1,0,2555,2005,2,9189.747916666667,0,0,0
12186,1,0,1,0,1564,1990,2,8.688595833333332,0,1,0
12197,1,3,0,0,962,1999,1,9897.471666666666,0,0,0
12208,2,0,1,0,1929,1869,4,5230.470416666666,0,1,1
12219,1,0,1,0,2685,2013,3,1847.9312499999999,0,1,0
12232,1,2,0,0,2154,2005,1,11101.687083333332,0,1,0
12243,1,3,1,0,2353,1965,1,2601.52625,0,1,0
12254,1,3,0,1,666,2014,4,1920.42125,0,1,1
12265,3,3,0,0,3472,1980,2,2573.245,0,1,1
12276,2,0,1,1,1975,1988,2,2446.8845833333335,0,1,0
12287,1,1,0,0,385,2010,2,202.85375,0,1,1
12298,2,0,1,0,5582,1996,3,3851.8620833333334,0,1,0
12309,3,0,1,0,724,2003,2,1879.41875,0,0,0
12320,1,0,0,1,3037,2009,4,2364.226666666667,0,1,1
12331,1,0,1,0,680,1995,2,1974.2083333333333,0,1,0
12343,2,2,0,0,3533,1993,4,526.9641666666666,0,1,1
12354,1,1,0,0,1802,1881,3,22.990791666666667,0,1,0
12365,1,2,0,0,592,1838,4,2858.27875,0,1,1
12376,1,3,1,0,22901,2000,4,1965.5583333333334,0,1,0
12387,3,3,1,0,986,1978,3,3331.8566666666666,0,0,0
12398,1,3,1,0,2030,1965,4,11553.375416666668,0,0,0
12409,1,3,0,0,23858,2006,4,5596.532916666667,0,0,1
12420,1,0,0,0,4559,1838,2,1742.6645833333332,0,0,1
12431,1,1,1,0,69962,1996,1,3867.3766666666666,0,0,0
12442,2,1,1,0,8438,1998,4,671.6154166666666,0,1,0
12454,3,0,0,0,2479,1978,4,4.501666666666667,0,1,1
12465,2,0,1,0,1082,1998,3,2970.5591666666664,0,1,0
12476,1,0,1,1,965,2012,3,2081.5329166666666,0,1,0
12487,1,0,1,0,721,2008,3,4653.275833333333,0,1,0
12498,1,2,1,0,3004,1979,0,2885.84375,0,1,1
12509,3,2,1,0,25994,1994,4,8527.62625,0,0,0
12520,3,3,1,0,1566,1948,4,3214.0145833333336,0,1,0
12531,1,3,1,0,1223,2007,3,6206.2420833333335,0,0,0
12542,3,3,0,0,3151,1849,1,1866.680833333333,0,1,0
12553,1,3,1,0,5213,2001,2,2689.3650000000002,0,1,0
12565,1,3,1,0,1691,2003,2,1735.3983333333333,0,0,0
12576,1,0,0,0,1690,1972,3,25.441141666666667,0,1,0
12587,2,1,1,0,16,1998,4,666.5304166666666,0,1,0
12598,1,0,1,1,1388,1986,3,1683.1158333333333,0,1,0
12609,1,3,1,0,1621,1996,3,5085.693333333334,0,1,0
12620,1,3,1,0,1319,2002,2,370.145,0,1,0
12631,2,2,1,0,2345,1999,4,4709.17,0,1,1
12642,1,1,0,0,2569,1849,2,2426.476666666667,0,1,1
12653,3,3,1,0,1469,2010,2,3631.7099999999996,0,1,0
12664,1,2,0,0,3139,1968,2,1758.39875,0,1,1
12676,3,3,1,0,2082,2011,4,4055.9816666666666,0,0,0
12687,1,0,0,0,20124,2002,2,2368.5316666666668,0,1,1
12698,1,3,1,0,3825,1952,3,4498.893333333333,0,0,0
12709,1,2,0,1,1430,1937,3,389.68375,0,1,0
12720,3,0,1,0,136307,1838,2,4738.3949999999995,0,1,0
12731,1,2,1,0,3352,2005,3,2616.955,0,1,0
12742,1,0,1,0,1126,1985,1,2148.645,0,1,0
12753,1,3,1,0,2260,1983,3,1661.1454166666665,0,1,0
12764,1,3,1,0,5205,2001,4,205.92708333333334,0,1,0
12775,1,0,0,0,4494,2007,3,4382.916666666667,0,1,0
12787,3,3,1,0,4579,1855,2,4524.027083333333,0,1,0
12798,1,0,1,0,1377,2006,2,3577.4475,0,1,0
12809,1,3,0,0,2007,1988,3,5717.23875,0,1,0
12820,1,0,1,0,3095,1967,3,41.4242125,0,1,0
12831,1,3,0,1,2932,1998,4,4417.39,0,1,1
12842,3,0,1,0,508,1989,4,3003.0108333333333,0,1,0
12853,2,3,0,0,365,1948,1,5678.931666666666,0,0,0
12864,1,3,0,0,7195,1977,3,2577.6066666666666,0,1,0
12875,1,2,1,0,224,1971,4,1478.58625,0,1,1
12886,1,0,1,1,4991,1923,3,3538.7779166666664,0,1,0
12898,1,1,0,0,1648,1977,4,10.607258333333332,0,1,1
12909,3,0,0,0,3275,1941,4,4040.30625,0,1,1
12920,3,1,0,1,2548,1869,4,1073.7404166666668,0,1,1
12931,1,0,0,0,28916,1968,2,4224.552083333333,0,0,1
12942,1,0,0,0,516,1996,1,3921.8866666666668,0,1,0
12953,1,3,1,0,649,2001,3,4296.15375,0,1,0
12964,5,3,1,1,947,1847,3,2722.7325,0,1,0
12975,1,3,0,1,259,1998,3,950.0104166666666,0,1,0
12986,1,0,1,0,3992,1967,3,3940.9733333333334,0,1,0
12997,1,3,1,0,2198,1967,3,1708.53,0,1,0
13009,3,0,1,0,2566,1838,4,5778.669166666667,0,1,1
13020,1,0,0,0,2781,1979,1,1366.8999999999999,0,1,0
13031,1,0,0,1,2203,2013,4,5572.422083333334,0,1,1
13042,2,0,0,1,69276,2006,2,6525.4141666666665,0,1,1
13053,1,0,1,0,2940,1840,2,5299.194583333333,0,1,0
13064,1,0,1,0,51114,2006,2,2632.6583333333333,0,1,0
13075,2,0,1,0,3355,2001,1,2348.6454166666667,0,1,0
13086,3,0,0,0,2948,2004,2,3962.0616666666665,0,1,1
13097,1,1,0,0,5709,2005,3,2411.4220833333334,0,1,0
13108,1,2,1,0,138,1977,4,3864.6720833333334,0,1,1
13120,3,2,1,0,5545,2005,4,2155.2279166666667,0,1,0
13131,3,0,0,0,2723,1952,1,4350.792083333333,0,1,0
13142,1,0,1,0,1006,1851,4,4018.0245833333333,0,1,0
13153,1,0,0,0,1720,2007,2,23.31737083333333,0,1,1
13164,1,3,0,0,2206,1997,2,4548.744166666666,0,0,1
13175,1,3,1,0,1127,1922,3,38.485416666666666,0,1,0
13186,1,3,1,0,3246,2007,3,3472.2095833333333,0,0,0
13197,2,0,0,1,650,1872,2,2281.0383333333334,0,1,0
13208,1,0,1,0,3920,1866,2,4559.145833333333,0,1,0
13219,1,3,1,0,5072,1975,4,635.8366666666667,0,1,0
13231,1,3,1,0,2935,2014,2,3560.77,0,0,0
13242,1,2,0,0,3545,1990,3,815.94125,0,1,0
13253,1,3,1,1,128,1985,3,4447.650000000001,0,1,0
13264,1,0,1,1,2055,2012,3,3405.445833333333,0,1,0
13275,1,3,1,0,1842,1982,4,2061.9820833333333,0,1,0
13286,1,3,1,0,145007,2012,4,3892.3174999999997,0,1,0
13297,2,0,1,0,1594,1999,3,1700.1008333333332,0,1,0
13308,1,3,0,0,4385,1994,3,23.924850000000003,0,1,0
13319,1,0,1,0,261,2006,0,354.865,0,1,0
13330,1,3,1,0,739,2006,2,2161.028333333333,0,1,0
13343,2,1,1,0,4909,2012,3,1670.1854166666665,0,1,0
13354,1,0,1,0,5140,1993,4,952.3391666666666,0,1,0
13365,1,0,1,0,1871,1954,1,2191.81625,0,1,0
13376,1,3,1,0,5146,1962,4,421.80375000000004,0,1,0
13387,0,0,1,0,3780,1991,2,4886.505,0,1,0
13398,1,0,1,0,206,1999,4,3400.6512500000003,0,1,0
13409,3,3,1,0,148,1977,2,2187.5970833333336,0,1,0
13420,1,0,1,0,637,1876,3,3384.75375,0,1,0
13431,1,2,0,0,4329,2001,4,3270.705416666666,0,1,1
13442,1,0,1,1,967,1998,3,3513.0866666666666,0,1,0
13454,1,3,1,0,2447,1980,4,134.53333333333333,0,1,0
13465,1,3,0,1,2263,2004,4,4880.135833333333,0,1,1
13476,5,3,1,0,3314,2010,4,6033.2725,0,1,0
13487,1,2,1,0,3386,2005,1,2015.48625,0,1,0
13498,5,0,1,0,1737,1996,2,4594.078333333334,0,1,1
13509,3,0,0,0,4907,2008,3,12.019729166666666,0,1,0
13520,5,0,0,0,869,1997,4,4829.64875,0,1,1
13531,2,0,0,1,4377,1992,3,3106.3700000000003,0,1,0
13542,1,2,0,0,3533,2011,1,2296.4166666666665,0,1,0
13553,2,2,0,0,791,1978,2,5.445416666666667,0,1,1
13565,1,3,1,0,3669,2007,2,1173.0041666666666,0,1,0
13576,2,3,0,1,5611,2006,1,7445.181666666666,0,1,0
13587,1,2,1,0,3612,2003,4,8.08375,0,1,1
13598,1,3,0,0,381,1908,1,4268.649166666667,0,1,0
